,Profit
0,192261.83
1,191792.06
2,191050.39
3,182901.99
4,166187.94
5,156991.12
6,156122.51
7,155752.6
8,152211.77
9,149759.96
10,146121.95
11,144259.4
12,141585.52
13,134307.35
14,132602.65
15,129917.04
16,126992.93
17,125370.37
18,124266.9
19,122776.86
20,118474.03
21,111313.02
22,110352.25
23,108733.99
24,108552.04
25,107404.34
26,105733.54
27,105008.31
28,103282.38
29,101004.64
30,99937.59
31,97483.56
32,97427.84
33,96778.92
34,96712.8
35,96479.51
36,90708.19
37,89949.14
38,81229.06
39,81005.76
40,78239.91
41,77798.83
42,71498.49
43,69758.98
44,65200.33
45,64926.08
46,49490.75
47,42559.73
48,35673.41
49,14681.4
